ASSET_TYPE,TYPE_DESCRIPTION,DEDICATION,ORIENTATION,PLAQUE,MANUFACTURER,PLAQUE_SPONSOR,FINISH_TYPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,longitude,latitude,location
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,LOGS,ACTIVE,-113.97105763856011,51.043404377380426,"(51.043404377380426, -113.97105763856011)"
6,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,2020/02/25: EXISTING SEATING TO REMAIN,ACTIVE,-113.97155300338623,51.04358991857818,"(51.04358991857818, -113.97155300338623)"
3,MEMORIAL BENCH,ALLAN GARDNER -AL HAD A GREAT PASSION FOR NATURE AND THE OUTDOORS. HE AND HIS FAMILY LOVED TO SPEND TIME IN THIS PARK. WALKING THE PATHS AND FEEDING THE BIRDS,NE,PRESENT,,,LACQUERED WOOD,,RIV840,,CALGARY PARKS,CALGARY PARKS,PARKS FOUNDATION FUNDING; SEE REPOSITORY FOR DETAILS,ACTIVE,-114.03118243867529,50.97562404377291,"(50.97562404377291, -114.03118243867529)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,PLASTICIZED,,HOU484,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.11008871820736,51.06451564667563,"(51.06451564667563, -114.11008871820736)"
5,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,PAINTED,ACR 3,EAU121,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.06956165762469,51.053672960052936,"(51.053672960052936, -114.06956165762469)"
5,PARKS BENCH,NOT APPLICABLE,N,NOT APPLICABLE,,,NATURAL WOOD,,BRE385,,CALGARY PARKS SHARED,LEASE HOLDER,WITHIN COMMUNITY GARDEN,ACTIVE,-114.13669873790205,51.098966213241695,"(51.098966213241695, -114.13669873790205)"
6,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,POWDER COATED,,SHN001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.06816110944534,50.91163973455341,"(50.91163973455341, -114.06816110944534)"
5,PARKS BENCH,NOT APPLICABLE,E,NOT APPLICABLE,,,PAINTED,,WGT762,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.15810114799285,51.04448602602773,"(51.04448602602773, -114.15810114799285)"
5,PARKS BENCH,NOT APPLICABLE,E,NOT APPLICABLE,,,PAINTED,,RAN027,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.199193498479,51.12124701695605,"(51.12124701695605, -114.199193498479)"
5,PARKS BENCH,NOT APPLICABLE,SW,NOT APPLICABLE,,,PAINTED,,WES099,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97541416652378,51.10455109760175,"(51.10455109760175, -113.97541416652378)"
6,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,PAINTED,,APP573,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.93269097698442,51.04061313798903,"(51.04061313798903, -113.93269097698442)"
6,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,2020/02/25: EXISTING SEATING TO REMAIN,ACTIVE,-113.9712800343945,51.043631762865104,"(51.043631762865104, -113.9712800343945)"
3,MEMORIAL BENCH,FOREST LAWN PLAYGROUND DEDICATION,SE,PRESENT,,,,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,2020/02/25: EXISTING SEATING TO REMAIN,ACTIVE,-113.97186786117722,51.043802744054815,"(51.043802744054815, -113.97186786117722)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,PAINTED,"NO DAS OR ORTHO AT FAC; NO INSTALL DT, USED ACTIVE DT; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY",FLN607,,CALGARY PARKS,CALGARY PARKS,2020/02/25: EXISTING SEATING TO REMAIN,ACTIVE,-113.97152304827382,51.04386899580327,"(51.04386899580327, -113.97152304827382)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,LOGS,ACTIVE,-113.97102404943763,51.043711655284135,"(51.043711655284135, -113.97102404943763)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,LOGS,ACTIVE,-113.97109008021225,51.04366154397477,"(51.04366154397477, -113.97109008021225)"
6,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,NO DAS OR ORTHO AT FAC; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY,FLN607,,CALGARY PARKS,CALGARY PARKS,2020/02/25: EXISTING SEATING TO REMAIN,ACTIVE,-113.97198069134762,51.043628649882976,"(51.043628649882976, -113.97198069134762)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,PAINTED,"NO DAS OR ORTHO AT FAC;  NO INSTALL DT, USED ACTIVE DT; 2020/02/20: PARK REDEVELOPED BY PARKS FOUNDATION; FACD 2019/12/19 BY PARKS MANAGMENT (N BERNARD) NO OFFICIAL CCC OR FAC DOC.  USED 2018/12/19 FOR CCC AS PER R MAY.  PARK INSPECTOR: R MAY",FLN607,,CALGARY PARKS,CALGARY PARKS,2020/02/25: EXISTING SEATING TO REMAIN,ACTIVE,-113.97141386982382,51.04381056644124,"(51.04381056644124, -113.97141386982382)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,PAINTED,2017/08/15: MOVED SITE FROM LKB TO PKL,PKL001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.05558169259831,50.930311490202406,"(50.930311490202406, -114.05558169259831)"
3,MEMORIAL BENCH,SUSAN OLIVIA HANCOCK,SE,PRESENT,,PARKS FOUNDATION,PAINTED,2017/08/15: MOVED SITE FROM LKB TO PKL,PKL001,LKE BONAVISTA-END OF LKE SIMCOE CL OVERLOOKING FISH CRK PRK,CALGARY PARKS,CALGARY PARKS,PARKS FOUNDATION FUNDING; SEE REPOSITORY FOR DETAILS,ACTIVE,-114.06009919433383,50.93005145439307,"(50.93005145439307, -114.06009919433383)"
3,MEMORIAL BENCH,"DRAGAN METIKOSH-1920-2009 IT IS NO SMALL THING TO HAVE FELT THE SUN TO HAVE LOVED, TO HAVE THOUGHT TO HAVE DONE",N,PRESENT,,PARKS FOUNDATION,LACQUERED WOOD,,GPK056,,CALGARY WATER,CALGARY PARKS,2020/7/07;REFURBISH BOARDS AND FRAME;PARKS FOUNDATION FUNDING; SEE REPOSITORY FOR DETAILS;,ACTIVE,-114.10394155742618,50.97398788783331,"(50.97398788783331, -114.10394155742618)"
5,PARKS BENCH,NOT APPLICABLE,N,NOT APPLICABLE,,,,,SHG050,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,-114.12847922895365,51.049296526209694,"(51.049296526209694, -114.12847922895365)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,STONE OR OTHER WITHOUT FINISH,,AUB014,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2022/10/26-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.94357730472207,50.894040306557436,"(50.894040306557436, -113.94357730472207)"
5,PARKS BENCH,NOT APPLICABLE,N,NOT APPLICABLE,,,STONE OR OTHER WITHOUT FINISH,,AUB016,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2022/10/26-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.94333018288778,50.89375356692637,"(50.89375356692637, -113.94333018288778)"
6,PICNIC TABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,RECYCLED PLASTIC / COMPOSITE,,MCT834,,CALGARY PARKS,CALGARY PARKS,RECTANGULAR IN SHAPE AND TWO SEATS;,ACTIVE,-113.96639704755214,50.921834098838644,"(50.921834098838644, -113.96639704755214)"
3,MEMORIAL BENCH,Dedicated to ...,E,NOT INSTALLED,,,,GREENWAY,WBN432,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.13952128956846,50.93840546539419,"(50.93840546539419, -114.13952128956846)"
3,MEMORIAL BENCH,,E,NOT INSTALLED,MAGLIN,PARKS FOUNDATION,NATURAL WOOD,GREENWAY,WBN432,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.1401890398202,50.94255444217911,"(50.94255444217911, -114.1401890398202)"
5,PARKS BENCH,NOT APPLICABLE,SW,NOT APPLICABLE,,,PAINTED,,PAN800,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.09261941783305,51.17072036108837,"(51.17072036108837, -114.09261941783305)"
5,PARKS BENCH,NOT APPLICABLE,NE,NOT APPLICABLE,CUSTOM PARK AND LEISURE,,NATURAL WOOD,,SHG052,,CALGARY PARKS,CALGARY PARKS,,INSTALLED,-114.12471437479846,51.04883272711378,"(51.04883272711378, -114.12471437479846)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,STONE OR OTHER WITHOUT FINISH,,AUB014,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2022/10/26-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.94340582085752,50.89402809249351,"(50.89402809249351, -113.94340582085752)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,STONE OR OTHER WITHOUT FINISH,,AUB014,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2022/10/26-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.94349118736976,50.89403431894183,"(50.89403431894183, -113.94349118736976)"
5,PARKS BENCH,NOT APPLICABLE,N,NOT APPLICABLE,,,STONE OR OTHER WITHOUT FINISH,,AUB016,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2022/10/26-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.94350017766283,50.89375269728168,"(50.89375269728168, -113.94350017766283)"
5,PARKS BENCH,NOT APPLICABLE,N,NOT APPLICABLE,,,STONE OR OTHER WITHOUT FINISH,,AUB016,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2022/10/26-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.94341518114045,50.89375241878146,"(50.89375241878146, -113.94341518114045)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,STONE OR OTHER WITHOUT FINISH,,AUB014,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2022/10/26-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.94366342983011,50.89404106195238,"(50.89404106195238, -113.94366342983011)"
5,PARKS BENCH,NOT APPLICABLE,N,NOT APPLICABLE,,,STONE OR OTHER WITHOUT FINISH,,AUB014,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2022/10/26-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.94331969750941,50.89402591020157,"(50.89402591020157, -113.94331969750941)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,RIVERSTONE MINING,,BOULDER,,CNS005,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,-113.93066308313668,51.15790477817321,"(51.15790477817321, -113.93066308313668)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,RIVERSTONE MINING,,BOULDER,,CNS005,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,-113.93063893794384,51.15786290217768,"(51.15786290217768, -113.93063893794384)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,RIVERSTONE MINING,,BOULDER,,CNS005,,CALGARY PARKS,DEVELOPER CONSTRUCTION,STACKABLE GRADE BOULDERS,INSTALLED,-113.92846657670452,51.15702107636162,"(51.15702107636162, -113.92846657670452)"
5,PARKS BENCH,NOT APPLICABLE,SE,NOT APPLICABLE,,,,TI PROJECT: BENCHES NOT FOUND ON ORIGINAL PLANS,GPK704,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,-114.10365556464416,50.994720581128234,"(50.994720581128234, -114.10365556464416)"
6,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,POWDER COATED,,SAD021,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.926243051227,51.12733063986202,"(51.12733063986202, -113.926243051227)"
2,GAMES TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,NATURAL WOOD,,MCT835,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2023/02/20-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,-113.96155068655601,50.913719245823685,"(50.913719245823685, -113.96155068655601)"
5,PARKS BENCH,NOT APPLICABLE,N,NOT APPLICABLE,,,NATURAL WOOD,XX ACR 2 NO BACKREST,AUB201,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.9675494253373,50.89270539476731,"(50.89270539476731, -113.9675494253373)"
5,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,PAINTED,ACR 3,EAU121,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.0697722793151,51.05242390508628,"(51.05242390508628, -114.0697722793151)"
3,MEMORIAL BENCH,MARGARET B BROWN,NE,PRESENT,,,PLASTICIZED,SEE PARIS REPOSITORY OPTIONAL AMENITY AGREEMENTS,VAR111,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,SEE REPOSITORY FOR DETAILS,ACTIVE,-114.16478143891486,51.08926876237657,"(51.08926876237657, -114.16478143891486)"
1,BLEACHER,NOT APPLICABLE,N,NOT APPLICABLE,,,PAINTED,,ACA197,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.04142323112148,50.968235409610436,"(50.968235409610436, -114.04142323112148)"
5,PARKS BENCH,NOT APPLICABLE,NW,NOT APPLICABLE,,,PLASTICIZED,,CPF002,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.9230256672412,50.91773262335847,"(50.91773262335847, -113.9230256672412)"
5,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,PAINTED,,WHI020,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.97823703971002,51.09304051686197,"(51.09304051686197, -113.97823703971002)"
5,PARKS BENCH,NOT APPLICABLE,SE,NOT APPLICABLE,,,PLASTICIZED,,CGR224,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.21041367246217,51.072076779707274,"(51.072076779707274, -114.21041367246217)"
5,PARKS BENCH,NOT APPLICABLE,NE,NOT APPLICABLE,,,PAINTED,,SHG920,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.12098539171043,51.04103236908949,"(51.04103236908949, -114.12098539171043)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,RIVERSTONE MINING,,BOULDER,,CNS005,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,-113.93048954176591,51.15785900822057,"(51.15785900822057, -113.93048954176591)"
1,BLEACHER,NOT APPLICABLE,N,NOT APPLICABLE,,,PAINTED,,OGD794,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-114.01389199052258,50.99127109870436,"(50.99127109870436, -114.01389199052258)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,,,,,ING013,,CALGARY PARKS,CALGARY PARKS,SEATING WALL; BASALT FLATS,ACTIVE,-114.0280939664148,51.03906546407001,"(51.03906546407001, -114.0280939664148)"
2,GAMES TABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,,,MCT834,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,-113.96630903952945,50.92184816698281,"(50.92184816698281, -113.96630903952945)"
5,PARKS BENCH,NOT APPLICABLE,,NOT APPLICABLE,RIVERSTONE MINING,,BOULDER,,CNS005,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,-113.93076411589281,51.1578755823915,"(51.1578755823915, -113.93076411589281)"
1,BLEACHER,NOT APPLICABLE,N,NOT APPLICABLE,,,PAINTED,,OGD794,,CALGARY PARKS & CBE,CALGARY PARKS,,ACTIVE,-114.01504305988996,50.99299286972716,"(50.99299286972716, -114.01504305988996)"
